订单号,支付时间,商品ID,商品名称,商家编码-SKU维度,商家编码-商品维度,商品规格,商品数量(件),商品单价(元),商品总价(元),订单金额(元),优惠金额(元),商家实收金额(元),订单状态,省份,城市,收货人姓名,收货人手机,收货地址,退款金额(元),退款原因,退款状态,支付方式,快递公司,快递单号,是否预售,运费(元),商品类目,百亿补贴
2605000017,2026-04-01 20:08:34,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,2,34.83,69.66,69.66,14.31,55.35,已退款,陕西省,陕西省,用户270,13844287092,陕西省区测试路132号,23.01,发错货/漏发,退款成功,花呗分期,申通快递,YT51591645459,否,0,家居生活,否
2605000128,2026-04-02 01:25:00,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,4,43.41,173.64,173.64,49.33,124.31,待发货,广东省,广州,用户870,13865241395,广州区测试路245号,0,,,微信支付,顺丰速运,YT70492750512,否,0,家居生活,否
2605000446,2026-04-02 05:17:33,PD00008,桌面手机支架可折叠,SKU017,SP00008,基础款-黑色,3,10.07,30.21,30.21,3.47,26.74,已付款,陕西省,陕西省,用户607,13897288318,陕西省区测试路9号,0,,,微信支付,申通快递,YT15053044407,否,0,数码电器,否
2605000361,2026-04-02 06:59:00,PD00001,夏季冰丝凉席三件套,SKU001,SP00001,1.5m床-灰色,1,45.78,45.78,45.78,4.35,41.43,已付款,云南省,云南省,用户119,13887926280,云南省区测试路191号,0,,,支付宝,顺丰速运,YT46520252928,是,0,家居生活,否
2605000096,2026-04-02 07:16:56,PD00008,桌面手机支架可折叠,SKU018,SP00008,升级款-银色,3,14.76,44.28,44.28,6.05,38.23,已发货,广西,广西,用户521,13876219844,广西区测试路192号,0,,,支付宝,顺丰速运,YT91630294179,否,0,数码电器,否
2605000171,2026-04-02 08:12:32,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,5,104.49,522.45,522.45,80.62,441.83,已发货,云南省,云南省,用户996,13884071998,云南省区测试路43号,0,,,微信支付,顺丰速运,YT63878959676,是,0,数码电器,否
2605000413,2026-04-02 11:42:12,PD00003,儿童益智积木拼装玩具,SKU007,SP00003,大颗粒200粒,4,54.63,218.52,218.52,42.32,176.20,已退款,江苏省,南京,用户125,13831205245,南京区测试路176号,118.09,质量问题,退款成功,花呗分期,中通快递,YT54950096161,是,0,母婴玩具,否
2605000418,2026-04-02 14:39:33,PD00005,男士运动休闲鞋透气款,SKU012,SP00005,41码-白色,5,127.38,636.90,636.90,171.36,465.54,已发货,上海市,上海市,用户605,13867492138,上海市区测试路92号,0,,,花呗分期,圆通速递,YT58695241725,否,0,运动户外,是
2605000423,2026-04-02 15:12:34,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,5,153.47,767.35,767.35,78.81,688.54,待发货,重庆市,重庆市,用户301,13818352739,重庆市区测试路191号,0,,,支付宝,极兔速递,YT13484473582,是,0,数码电器,否
2605000258,2026-04-02 21:00:00,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,4,248.39,993.56,993.56,165.46,828.10,已发货,湖南省,长沙,用户66,13871606454,长沙区测试路242号,0,,,微信支付,极兔速递,YT11936445040,否,0,数码电器,否
2605000173,2026-04-02 21:11:14,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,3,81.39,244.17,244.17,49.10,195.07,已完成,广东省,广州,用户661,13872518238,广州区测试路209号,0,,,微信支付,圆通速递,YT90487057823,否,0,服饰内衣,是
2605000437,2026-04-02 21:45:35,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,2,30.31,60.62,60.62,10.23,50.39,已付款,湖北省,武汉,用户195,13840616106,武汉区测试路13号,0,,,花呗分期,顺丰速运,YT35297533991,否,0,家居生活,否
2605000165,2026-04-02 23:14:41,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,5,160.95,804.75,804.75,100.48,704.27,已签收,湖北省,武汉,用户586,13847767651,武汉区测试路67号,0,,,花呗分期,极兔速递,YT89603754687,否,0,数码电器,否
2605000351,2026-04-03 00:16:40,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,3,62.66,187.98,187.98,16.89,171.09,待发货,云南省,云南省,用户701,13899364830,云南省区测试路260号,0,,,花呗分期,申通快递,YT63183372550,否,0,服饰内衣,否
2605000339,2026-04-03 00:35:43,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,5,47.71,238.55,238.55,45.71,192.84,已退款,江苏省,南京,用户949,13855950132,南京区测试路208号,168.83,收到商品破损,退款成功,支付宝,圆通速递,YT80291315840,否,0,服饰内衣,否
2605000283,2026-04-03 00:45:15,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,2,30.13,60.26,60.26,6.40,53.86,已签收,山东省,青岛,用户250,13842580987,青岛区测试路36号,0,,,花呗分期,中通快递,YT46667061113,否,0,家居生活,否
2605000237,2026-04-03 01:19:21,PD00008,桌面手机支架可折叠,SKU017,SP00008,基础款-黑色,1,19.90,19.90,19.90,5.26,14.64,已签收,安徽省,合肥,用户360,13815307244,合肥区测试路37号,0,,,花呗分期,韵达快递,YT56888587642,否,0,数码电器,否
2605000277,2026-04-03 05:31:28,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,3,58.47,175.41,175.41,3.11,172.30,已付款,福建省,厦门,用户247,13838017207,厦门区测试路193号,0,,,支付宝,圆通速递,YT14239014104,否,0,服饰内衣,否
2605000440,2026-04-03 06:01:45,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,1,61.92,61.92,61.92,15.55,46.37,已签收,重庆市,重庆市,用户379,13856667885,重庆市区测试路60号,0,,,支付宝,顺丰速运,YT34973300205,否,0,家居生活,否
2605000373,2026-04-03 09:00:27,PD00001,夏季冰丝凉席三件套,SKU002,SP00001,1.8m床-灰色,5,87.57,437.85,437.85,82.57,355.28,已退款,广西,广西,用户593,13830596745,广西区测试路109号,325.21,商品与描述不符,退款成功,支付宝,圆通速递,YT50188783542,否,0,家居生活,否
2605000005,2026-04-03 10:38:21,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,2,25.35,50.70,50.70,3.29,47.41,已退款,云南省,云南省,用户23,13872731482,云南省区测试路163号,27.13,七天无理由退货,退款成功,微信支付,韵达快递,YT77868960554,否,0,家居生活,否
2605000365,2026-04-03 14:28:18,PD00005,男士运动休闲鞋透气款,SKU010,SP00005,39码-黑色,5,128.86,644.30,644.30,60.57,583.73,已签收,福建省,厦门,用户148,13877387677,厦门区测试路166号,0,,,支付宝,中通快递,YT77317921005,是,0,运动户外,否
2605000150,2026-04-03 14:32:38,PD00003,儿童益智积木拼装玩具,SKU006,SP00003,大颗粒100粒,3,63.64,190.92,190.92,46.36,144.56,已退款,浙江省,杭州,用户496,13850803776,杭州区测试路263号,62.54,不喜欢/效果不好,退款成功,支付宝,申通快递,YT32143356542,否,0,母婴玩具,否
2605000262,2026-04-03 14:53:15,PD00003,儿童益智积木拼装玩具,SKU007,SP00003,大颗粒200粒,3,92.35,277.05,277.05,32.77,244.28,待发货,江苏省,南京,用户887,13866383649,南京区测试路99号,0,,,花呗分期,极兔速递,YT96094166797,否,0,母婴玩具,否
2605000100,2026-04-03 17:46:02,PD00005,男士运动休闲鞋透气款,SKU011,SP00005,40码-黑色,1,161.53,161.53,161.53,1.46,160.07,已付款,河南省,郑州,用户823,13826239712,郑州区测试路155号,0,,,花呗分期,申通快递,YT36759693632,否,0,运动户外,否
2605000357,2026-04-04 01:59:47,PD00005,男士运动休闲鞋透气款,SKU012,SP00005,41码-白色,4,157.18,628.72,628.72,109.32,519.40,已签收,北京市,北京市,用户684,13884072513,北京市区测试路219号,0,,,支付宝,中通快递,YT21248307828,否,0,运动户外,否
2605000187,2026-04-04 02:58:48,PD00005,男士运动休闲鞋透气款,SKU011,SP00005,40码-黑色,3,101.92,305.76,305.76,5.67,300.09,已发货,浙江省,杭州,用户826,13869201478,杭州区测试路249号,0,,,支付宝,中通快递,YT80272477355,否,0,运动户外,否
2605000044,2026-04-04 16:45:48,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,3,34.88,104.64,104.64,30.04,74.60,待发货,山东省,青岛,用户818,13842718317,青岛区测试路181号,0,,,微信支付,申通快递,YT39685455088,否,0,家居生活,否
2605000286,2026-04-04 16:58:15,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,5,73.82,369.10,369.10,21.46,347.64,已完成,河北省,河北省,用户641,13894152462,河北省区测试路16号,0,,,支付宝,圆通速递,YT83188540921,否,0,服饰内衣,否
2605000285,2026-04-04 17:29:05,PD00001,夏季冰丝凉席三件套,SKU001,SP00001,1.5m床-灰色,4,106.49,425.96,425.96,85.06,340.90,已签收,福建省,厦门,用户715,13827806194,厦门区测试路179号,159.98,不喜欢/效果不好,退款成功,花呗分期,中通快递,YT87279946374,否,0,家居生活,否
2605000287,2026-04-05 05:02:45,PD00008,桌面手机支架可折叠,SKU017,SP00008,基础款-黑色,1,18.54,18.54,18.54,0.85,17.69,待发货,广东省,广州,用户419,13826001377,广州区测试路131号,0,,,花呗分期,顺丰速运,YT62874543820,否,0,数码电器,否
2605000035,2026-04-05 08:51:59,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,5,61.96,309.80,309.80,51.82,257.98,已完成,云南省,云南省,用户795,13852941214,云南省区测试路52号,113.38,物流太慢,退款成功,支付宝,圆通速递,YT46307393343,否,0,家居生活,否
2605000107,2026-04-05 09:23:53,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,1,57.48,57.48,57.48,3.34,54.14,已退款,湖南省,长沙,用户290,13870585007,长沙区测试路160号,30.86,收到商品破损,退款成功,微信支付,韵达快递,YT36246211355,否,0,家居生活,否
2605000160,2026-04-05 15:05:26,PD00003,儿童益智积木拼装玩具,SKU007,SP00003,大颗粒200粒,4,66.29,265.16,265.16,69.26,195.90,待发货,江西省,江西省,用户197,13884786034,江西省区测试路294号,0,,,微信支付,圆通速递,YT25191948117,否,0,母婴玩具,是
2605000244,2026-04-06 01:03:02,PD00005,男士运动休闲鞋透气款,SKU012,SP00005,41码-白色,1,71.09,71.09,71.09,4.79,66.30,已签收,福建省,厦门,用户118,13875120190,厦门区测试路41号,0,,,支付宝,圆通速递,YT75852744692,否,0,运动户外,否
2605000297,2026-04-06 02:14:30,PD00003,儿童益智积木拼装玩具,SKU007,SP00003,大颗粒200粒,5,87.47,437.35,437.35,99.46,337.89,待发货,辽宁省,辽宁省,用户79,13889108186,辽宁省区测试路89号,0,,,支付宝,韵达快递,YT43700028817,否,0,母婴玩具,是
2605000398,2026-04-06 04:08:28,PD00003,儿童益智积木拼装玩具,SKU006,SP00003,大颗粒100粒,3,36.78,110.34,110.34,11.66,98.68,已付款,陕西省,陕西省,用户919,13864602566,陕西省区测试路247号,0,,,支付宝,圆通速递,YT81957966560,否,0,母婴玩具,否
2605000049,2026-04-06 08:15:01,PD00007,有机红枣夹核桃500g,SKU016,SP00007,1000g礼盒,5,58.85,294.25,294.25,4.01,290.24,已退款,云南省,云南省,用户517,13858594428,云南省区测试路291号,261.73,七天无理由退货,退款成功,微信支付,韵达快递,YT62723932704,否,0,食品生鲜,否
2605000429,2026-04-06 12:05:33,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,1,93.58,93.58,93.58,5.56,88.02,已发货,陕西省,陕西省,用户368,13823783270,陕西省区测试路183号,0,,,微信支付,申通快递,YT71824814348,否,0,数码电器,是
2605000247,2026-04-06 13:09:12,PD00001,夏季冰丝凉席三件套,SKU003,SP00001,1.5m床-蓝色,1,67.95,67.95,67.95,7.29,60.66,已付款,湖北省,武汉,用户223,13856980173,武汉区测试路18号,0,,,支付宝,韵达快递,YT88903291259,否,0,家居生活,否
2605000424,2026-04-06 14:27:58,PD00005,男士运动休闲鞋透气款,SKU011,SP00005,40码-黑色,3,70.06,210.18,210.18,35.15,175.03,待发货,云南省,云南省,用户179,13878352707,云南省区测试路143号,0,,,支付宝,顺丰速运,YT40775156875,否,0,运动户外,否
2605000185,2026-04-06 14:41:03,PD00007,有机红枣夹核桃500g,SKU015,SP00007,500g袋装,2,40.40,80.80,80.80,22.20,58.60,已发货,云南省,云南省,用户487,13889252802,云南省区测试路291号,0,,,微信支付,圆通速递,YT49934938598,否,0,食品生鲜,否
2605000037,2026-04-07 02:53:30,PD00006,女士防晒衣轻薄透气,SKU013,SP00006,M码-浅蓝,2,79.53,159.06,159.06,15.18,143.88,已退款,江西省,江西省,用户273,13873467840,江西省区测试路211号,91.41,收到商品破损,退款成功,支付宝,中通快递,YT31570782794,是,0,服饰内衣,否
2605000182,2026-04-07 07:31:07,PD00003,儿童益智积木拼装玩具,SKU007,SP00003,大颗粒200粒,3,94.17,282.51,282.51,12.39,270.12,已发货,上海市,上海市,用户835,13844681473,上海市区测试路257号,0,,,花呗分期,中通快递,YT28551376195,是,0,母婴玩具,否
2605000345,2026-04-07 15:41:00,PD00006,女士防晒衣轻薄透气,SKU013,SP00006,M码-浅蓝,4,65.49,261.96,261.96,7.98,253.98,已发货,北京市,北京市,用户188,13822224833,北京市区测试路124号,0,,,微信支付,顺丰速运,YT56596772727,是,0,服饰内衣,否
2605000056,2026-04-07 19:24:23,PD00007,有机红枣夹核桃500g,SKU015,SP00007,500g袋装,2,20.10,40.20,40.20,1.57,38.63,已付款,重庆市,重庆市,用户20,13847300601,重庆市区测试路31号,0,,,支付宝,极兔速递,YT13348787370,否,0,食品生鲜,否
2605000268,2026-04-08 10:37:52,PD00001,夏季冰丝凉席三件套,SKU002,SP00001,1.8m床-灰色,4,86.33,345.32,345.32,66.64,278.68,已签收,云南省,云南省,用户995,13828986028,云南省区测试路195号,0,,,花呗分期,韵达快递,YT14821354862,否,0,家居生活,否
2605000428,2026-04-08 11:22:00,PD00008,桌面手机支架可折叠,SKU018,SP00008,升级款-银色,5,24.51,122.55,122.55,3.30,119.25,已发货,天津市,天津市,用户404,13898706677,天津市区测试路110号,0,,,花呗分期,中通快递,YT66032573964,否,0,数码电器,否
2605000327,2026-04-08 17:06:07,PD00005,男士运动休闲鞋透气款,SKU012,SP00005,41码-白色,5,143.80,719.00,719.00,155.84,563.16,已发货,上海市,上海市,用户955,13874234843,上海市区测试路287号,0,,,支付宝,申通快递,YT98552394991,否,0,运动户外,否
2605000405,2026-04-09 01:53:26,PD00003,儿童益智积木拼装玩具,SKU006,SP00003,大颗粒100粒,5,34.69,173.45,173.45,11.99,161.46,已完成,云南省,云南省,用户942,13877896755,云南省区测试路48号,0,,,微信支付,中通快递,YT33868334865,否,0,母婴玩具,是
2605000131,2026-04-09 02:37:13,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,4,174.40,697.60,697.60,35.87,661.73,已发货,福建省,厦门,用户650,13849509217,厦门区测试路149号,0,,,微信支付,圆通速递,YT28942719432,否,0,数码电器,否
2605000358,2026-04-09 02:46:09,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,1,180.84,180.84,180.84,2.65,178.19,已发货,浙江省,杭州,用户41,13866969149,杭州区测试路24号,0,,,支付宝,圆通速递,YT73814757055,否,0,数码电器,是
2605000273,2026-04-09 03:57:26,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,1,26.36,26.36,26.36,2.73,23.63,已退款,上海市,上海市,用户34,13822234524,上海市区测试路109号,9.15,七天无理由退货,退款成功,花呗分期,中通快递,YT54081566180,否,0,家居生活,否
2605000103,2026-04-09 07:45:01,PD00005,男士运动休闲鞋透气款,SKU011,SP00005,40码-黑色,4,112.88,451.52,451.52,120.91,330.61,待发货,湖北省,武汉,用户74,13863752515,武汉区测试路279号,0,,,微信支付,顺丰速运,YT16392977749,否,0,运动户外,否
2605000293,2026-04-09 10:23:24,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,2,195.66,391.32,391.32,42.29,349.03,已完成,广东省,广州,用户394,13888897230,广州区测试路283号,0,,,微信支付,极兔速递,YT48264208659,否,0,数码电器,否
2605000032,2026-04-09 14:16:23,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,5,72.91,364.55,364.55,69.58,294.97,已退款,安徽省,合肥,用户923,13851107460,合肥区测试路170号,96.92,不喜欢/效果不好,退款成功,支付宝,极兔速递,YT84917922589,否,0,数码电器,否
2605000282,2026-04-09 16:22:27,PD00006,女士防晒衣轻薄透气,SKU013,SP00006,M码-浅蓝,3,56.11,168.33,168.33,50.30,118.03,已退款,广东省,广州,用户724,13854322706,广州区测试路159号,66.40,收到商品破损,退款成功,花呗分期,极兔速递,YT80750116005,否,0,服饰内衣,否
2605000047,2026-04-09 19:54:44,PD00001,夏季冰丝凉席三件套,SKU001,SP00001,1.5m床-灰色,1,78.88,78.88,78.88,2.75,76.13,待发货,湖南省,长沙,用户317,13819218043,长沙区测试路88号,0,,,花呗分期,极兔速递,YT25946925506,否,0,家居生活,否
2605000324,2026-04-09 21:05:44,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,3,58.04,174.12,174.12,27.35,146.77,待发货,广东省,广州,用户50,13849247196,广州区测试路273号,0,,,花呗分期,圆通速递,YT56251214215,否,0,服饰内衣,否
2605000006,2026-04-09 21:34:47,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,1,78.92,78.92,78.92,12.04,66.88,已完成,四川省,成都,用户746,13835349871,成都区测试路258号,23.38,不喜欢/效果不好,退款成功,花呗分期,顺丰速运,YT21643040195,否,0,家居生活,否
2605000442,2026-04-10 00:05:41,PD00006,女士防晒衣轻薄透气,SKU013,SP00006,M码-浅蓝,4,54.40,217.60,217.60,51.45,166.15,已完成,江苏省,南京,用户664,13823667338,南京区测试路142号,0,,,花呗分期,极兔速递,YT73701452824,否,0,服饰内衣,否
2605000091,2026-04-10 03:53:45,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,1,178.08,178.08,178.08,35.66,142.42,已完成,河北省,河北省,用户683,13862057320,河北省区测试路131号,0,,,微信支付,极兔速递,YT33248739365,否,0,数码电器,否
2605000174,2026-04-10 08:44:14,PD00005,男士运动休闲鞋透气款,SKU010,SP00005,39码-黑色,5,121.85,609.25,609.25,39.68,569.57,已付款,湖南省,长沙,用户722,13884865510,长沙区测试路62号,0,,,支付宝,中通快递,YT56614198682,否,0,运动户外,否
2605000029,2026-04-10 11:29:12,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,4,52.32,209.28,209.28,34.17,175.11,已付款,福建省,厦门,用户824,13871164142,厦门区测试路215号,0,,,支付宝,极兔速递,YT44136849279,否,0,家居生活,否
2605000071,2026-04-10 13:07:27,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,5,44.06,220.30,220.30,28.69,191.61,已退款,四川省,成都,用户370,13820902677,成都区测试路253号,119.14,商品与描述不符,退款成功,花呗分期,中通快递,YT71841711195,否,0,家居生活,是
2605000111,2026-04-10 19:36:26,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,2,117.48,234.96,234.96,11.96,223.00,已签收,江西省,江西省,用户468,13817058920,江西省区测试路99号,0,,,支付宝,圆通速递,YT13559936932,否,0,数码电器,否
2605000078,2026-04-10 20:21:54,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,4,44.40,177.60,177.60,14.48,163.12,已签收,浙江省,杭州,用户619,13847531712,杭州区测试路75号,0,,,花呗分期,顺丰速运,YT11707819885,否,0,家居生活,否
2605000321,2026-04-10 21:37:00,PD00007,有机红枣夹核桃500g,SKU015,SP00007,500g袋装,5,19.00,95.00,95.00,9.26,85.74,已发货,上海市,上海市,用户391,13869880893,上海市区测试路87号,0,,,支付宝,申通快递,YT16628224656,否,0,食品生鲜,否
2605000214,2026-04-10 22:03:52,PD00007,有机红枣夹核桃500g,SKU015,SP00007,500g袋装,1,31.53,31.53,31.53,3.39,28.14,已签收,河南省,郑州,用户257,13860143070,郑州区测试路31号,0,,,微信支付,圆通速递,YT38549092759,否,0,食品生鲜,否
2605000255,2026-04-11 01:43:36,PD00007,有机红枣夹核桃500g,SKU016,SP00007,1000g礼盒,1,54.40,54.40,54.40,7.84,46.56,待发货,天津市,天津市,用户723,13843710247,天津市区测试路234号,0,,,微信支付,极兔速递,YT42343768032,否,0,食品生鲜,否
2605000386,2026-04-11 01:57:27,PD00005,男士运动休闲鞋透气款,SKU010,SP00005,39码-黑色,2,84.90,169.80,169.80,10.72,159.08,已发货,河南省,郑州,用户771,13826018394,郑州区测试路86号,0,,,微信支付,顺丰速运,YT33251318120,否,0,运动户外,是
2605000161,2026-04-11 05:42:18,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,2,243.18,486.36,486.36,135.71,350.65,已发货,浙江省,杭州,用户217,13891710842,杭州区测试路176号,0,,,花呗分期,中通快递,YT87694809656,否,0,数码电器,否
2605000275,2026-04-11 05:46:38,PD00008,桌面手机支架可折叠,SKU018,SP00008,升级款-银色,4,18.84,75.36,75.36,6.71,68.65,已付款,辽宁省,辽宁省,用户54,13898439000,辽宁省区测试路107号,0,,,支付宝,顺丰速运,YT62251732833,否,0,数码电器,是
2605000317,2026-04-11 05:57:55,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,1,187.36,187.36,187.36,32.16,155.20,已付款,陕西省,陕西省,用户686,13880023438,陕西省区测试路132号,122.72,收到商品破损,退款成功,支付宝,顺丰速运,YT93378012673,否,0,数码电器,否
2605000307,2026-04-11 06:35:55,PD00001,夏季冰丝凉席三件套,SKU001,SP00001,1.5m床-灰色,4,47.57,190.28,190.28,42.73,147.55,已完成,云南省,云南省,用户582,13885069383,云南省区测试路77号,0,,,微信支付,中通快递,YT74722516166,否,0,家居生活,是
2605000320,2026-04-11 09:04:40,PD00004,不锈钢保温杯大容量,SKU009,SP00004,800ml-银色,5,74.58,372.90,372.90,72.01,300.89,已完成,山东省,青岛,用户980,13835603531,青岛区测试路257号,0,,,微信支付,申通快递,YT76748814340,否,0,家居生活,否
2605000176,2026-04-11 16:33:16,PD00005,男士运动休闲鞋透气款,SKU010,SP00005,39码-黑色,1,119.19,119.19,119.19,6.40,112.79,已付款,河南省,郑州,用户461,13848195046,郑州区测试路222号,0,,,支付宝,中通快递,YT18778866004,是,0,运动户外,否
2605000426,2026-04-11 16:44:24,PD00005,男士运动休闲鞋透气款,SKU012,SP00005,41码-白色,5,93.00,465.00,465.00,49.17,415.83,已发货,浙江省,杭州,用户859,13855446086,杭州区测试路2号,290.56,发错货/漏发,退款成功,花呗分期,圆通速递,YT40915449879,是,0,运动户外,否
2605000094,2026-04-11 17:59:39,PD00004,不锈钢保温杯大容量,SKU008,SP00004,500ml-黑色,5,46.15,230.75,230.75,19.96,210.79,待发货,四川省,成都,用户972,13885812032,成都区测试路126号,0,,,花呗分期,顺丰速运,YT82793198745,否,0,家居生活,是
2605000139,2026-04-11 20:52:21,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,5,176.47,882.35,882.35,259.89,622.46,已发货,江苏省,南京,用户225,13872571717,南京区测试路206号,0,,,支付宝,申通快递,YT82075202156,是,0,数码电器,否
2605000378,2026-04-11 21:31:30,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,4,40.09,160.36,160.36,25.59,134.77,已付款,北京市,北京市,用户785,13880466542,北京市区测试路202号,0,,,花呗分期,顺丰速运,YT10552675068,否,0,服饰内衣,否
2605000312,2026-04-11 21:45:39,PD00003,儿童益智积木拼装玩具,SKU006,SP00003,大颗粒100粒,1,67.59,67.59,67.59,15.31,52.28,已付款,江苏省,南京,用户928,13826718202,南京区测试路274号,0,,,支付宝,韵达快递,YT57060605648,否,0,母婴玩具,否
2605000329,2026-04-12 02:02:35,PD00002,无线蓝牙耳机Pro版,SKU005,SP00002,白色降噪版,5,134.91,674.55,674.55,141.45,533.10,已付款,四川省,成都,用户362,13859343658,成都区测试路53号,0,,,花呗分期,申通快递,YT90064678489,是,0,数码电器,否
2605000146,2026-04-12 03:02:44,PD00007,有机红枣夹核桃500g,SKU015,SP00007,500g袋装,1,29.97,29.97,29.97,7.87,22.10,已完成,江西省,江西省,用户535,13830858091,江西省区测试路141号,0,,,花呗分期,中通快递,YT68547656064,否,0,食品生鲜,否
