订单号,订单状态,支付时间,发货时间,确认收货时间,订单成交时间,承诺发货时间,商品名称,商品ID,商家编码-商品维度,商家编码-规格维度,商品规格,规格id,规格名称,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商品数量(件),商品单价(元),商品总价(元),用户实付金额(元),商家实收金额(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),拼多多优惠券(元),平台技术服务费(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),退款金额(元),退款原因,退款类型,售后状态,省,市,区,街道/镇,收货人,收货人手机,买家留言,商家备注,订单来源,是否直播间成交,是否直播间引导成交,是否门店自提,门店名称,支付方式,是否分期,分期期数,手续费承担方,是否预售,是否顺丰加价,是否抽奖或0元试用,是否社区团购,是否无痕发货,是否节能补贴,快递公司,快递单号,配送状态,集运类型
2705000479,已退款,2026-04-02 02:17:25,2026-04-03 00:24:53,2026-04-06,2026-04-02 02:33:57,2026-04-04,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,45.00,45.00,32.35,32.16,0.00,4.16,3.64,2.60,2.25,0.19,0.00,0.00,0.00,17.52,不喜欢/效果不好,退货退款,退款成功,辽宁省,沈阳,南山区,沈阳市南山区建设路52号,用户525,13934256548,,,H5,否,否,否,,多多支付,否,,,否,否,否,否,是,否,韵达快递,YT92637764998,已签收,
2705000270,待发货,2026-04-02 02:56:08,2026-04-05 18:27:21,2026-04-12,2026-04-02 09:56:38,2026-04-04,无线蓝牙耳机Pro版,PD00002,SP00002,SKU004,黑色标准版,SKU004,黑色标准版,ST004,数码电器,影音设备,耳机,无线耳机,5,129.00,645.00,485.37,482.46,0.00,63.85,55.87,39.91,0.00,2.91,0.00,0.00,0.00,0.00,,,补发,安徽省,合肥,浦东新区,合肥市浦东新区长安街71号,用户535,17174404562,,,小程序,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT15452741844,运输中,
2705000221,已发货,2026-04-02 04:32:04,2026-04-05 20:31:09,2026-04-07,2026-04-02 03:12:25,2026-04-04,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,42.82,42.56,0.00,5.29,4.63,3.31,2.95,0.26,0.00,0.00,0.00,0.00,,,,重庆市,重庆,锦江区,重庆市锦江区中山路5号,用户635,13741829140,,要赠品,H5,否,否,否,,支付宝,否,,买家,否,否,否,是,否,否,申通快递,YT30783844091,派送中,
2705000063,待发货,2026-04-02 09:05:00,2026-04-04 22:00:31,2026-04-07,2026-04-02 21:06:14,2026-04-04,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,92.23,91.68,0.00,6.71,5.87,4.19,0.00,0.55,0.00,0.00,0.00,0.00,,,,山东省,青岛,浦东新区,青岛市浦东新区人民路129号,用户998,13216949114,,,H5,是,否,否,,多多支付,否,,买家,否,否,否,否,否,是,邮政快递,YT63234361985,已签收,
2705000153,已退款,2026-04-02 15:57:21,2026-04-03 11:14:19,2026-04-10,2026-04-02 02:44:29,2026-04-04,夏季冰丝凉席三件套,PD00001,SP00001,SKU001,1.5m床-灰色,SKU001,1.5m床-灰色,ST001,家居生活,床上用品,凉席,冰丝凉席,2,89.00,178.00,164.55,163.56,0.00,5.38,4.71,3.36,0.00,0.99,0.00,46.61,0.00,150.43,不喜欢/效果不好,仅退款,退货退款,安徽省,合肥,浦东新区,合肥市浦东新区建设路298号,用户324,17195630252,麻烦包装好一点,VIP客户,APP-iOS,否,否,否,,多多支付,否,3,,否,否,否,否,否,否,极兔速递,YT18677774585,已签收,
2705000476,已退款,2026-04-02 20:59:08,2026-04-05 08:58:55,2026-04-07,2026-04-02 22:39:25,2026-04-04,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,106.04,105.40,0.00,5.18,4.54,3.24,0.00,0.64,0.00,0.00,0.00,62.83,商品与描述不符,仅退款,退款成功,安徽省,合肥,武侯区,合肥市武侯区长安街241号,用户488,13146480898,,,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,否,邮政快递,YT58731138545,已签收,
2705000027,已付款,2026-04-02 22:54:30,2026-04-05 16:18:18,2026-04-12,2026-04-02 13:58:35,2026-04-04,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,5,69.00,345.00,290.14,288.40,0.00,15.05,13.16,9.40,17.25,1.74,0.00,0.00,0.00,276.94,物流太慢,退货退款,退款成功,福建省,厦门,海淀区,厦门市海淀区长安街12号,用户609,14726987716,,,APP-iOS,否,否,否,,支付宝,否,3,,是,否,否,否,是,否,顺丰速运,YT66643620136,已签收,
2705000045,已退款,2026-04-02 22:56:19,2026-04-03 07:07:10,2026-04-09,2026-04-02 12:15:22,2026-04-04,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,2,189.00,378.00,353.49,351.37,0.00,9.80,8.58,6.13,0.00,2.12,0.00,0.00,0.00,156.45,七天无理由退货,仅退款,退款成功,江西省,南昌,福田区,南昌市福田区长安街263号,用户178,17206263293,,,APP-iOS,否,否,否,,微信支付,否,,商家,否,否,否,否,否,否,韵达快递,YT34412058531,运输中,
2705000455,已签收,2026-04-03 01:57:50,2026-04-06 20:14:55,2026-04-13,2026-04-03 03:16:27,2026-04-05,有机红枣夹核桃500g,PD00007,SP00007,SKU015,500g袋装,SKU015,500g袋装,ST015,食品生鲜,坚果零食,红枣,夹心红枣,2,39.00,78.00,63.59,63.21,0.00,4.20,3.68,2.63,3.90,0.38,0.00,0.00,0.00,0.00,,,,天津市,天津,浦东新区,天津市浦东新区长安街300号,用户432,15319561590,,老客户,小程序,否,否,否,,多多支付,否,,,是,否,否,否,否,否,申通快递,YT37596327166,运输中,
2705000248,已完成,2026-04-03 05:20:43,2026-04-05 04:57:27,2026-04-11,2026-04-03 15:37:38,2026-04-05,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,1,69.00,69.00,65.00,64.61,0.00,1.60,1.40,1.00,0.00,0.39,0.00,0.00,0.00,0.00,,,,广西,南宁,天河区,南宁市天河区建设路112号,用户450,15484141827,,,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,否,韵达快递,YT11096807497,派送中,
2705000497,已退款,2026-04-03 05:56:14,2026-04-05 15:40:13,2026-04-07,2026-04-03 16:01:38,2026-04-05,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,174.75,173.70,0.00,1.92,1.68,1.20,9.45,1.05,0.00,0.00,0.00,93.90,七天无理由退货,退货退款,退货退款,天津市,天津,朝阳区,天津市朝阳区中山路239号,用户497,13629438768,,,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,顺丰速运,YT21894668453,运输中,
2705000104,已取消,2026-04-03 08:55:57,,,2026-04-03 00:50:06,2026-04-05,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,3,69.00,207.00,177.05,175.99,0.00,7.84,6.86,4.90,10.35,1.06,0.00,0.00,0.00,0.00,,,,湖北省,武汉,天河区,武汉市天河区南京路234号,用户247,19946583141,,,小程序,否,否,否,,支付宝,否,,,否,否,否,否,否,否,中通快递,YT52286650692,,
2705000139,已取消,2026-04-03 09:04:40,,,2026-04-03 21:33:48,2026-04-05,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,2,109.00,218.00,193.27,192.11,0.00,5.53,4.84,3.46,10.90,1.16,32.75,0.00,0.00,0.00,,,,广东省,广州,东城区,广州市东城区建设路54号,用户256,15139931360,,,APP-Android,否,否,否,,多多支付,否,,商家,否,否,否,否,否,否,邮政快递,YT14562010423,,
2705000473,已发货,2026-04-03 10:44:54,2026-04-06 05:09:51,2026-04-07,2026-04-03 09:14:14,2026-04-05,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,194.17,193.00,0.00,17.53,15.34,10.96,0.00,1.17,0.00,0.00,0.00,0.00,,,,天津市,天津,天河区,天津市天河区南京路174号,用户913,18382337956,,,APP-iOS,否,是,否,,支付宝,否,,,否,是,否,否,否,是,韵达快递,YT39032765263,运输中,
2705000235,已退款,2026-04-03 14:48:05,2026-04-06 05:43:08,2026-04-12,2026-04-03 15:44:37,2026-04-05,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,87.76,87.23,0.00,8.50,7.43,5.31,0.00,0.53,0.00,0.00,0.00,52.92,商品与描述不符,仅退款,退款成功,陕西省,西安,浦东新区,西安市浦东新区长安街91号,用户716,14574231871,,,H5,否,否,否,,支付宝,否,,,否,否,否,否,否,否,邮政快递,YT26662956079,运输中,
2705000163,已付款,2026-04-03 14:50:49,2026-04-05 19:43:44,2026-04-06,2026-04-03 19:53:46,2026-04-05,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,3,89.00,267.00,243.47,241.04,0.00,9.41,8.24,5.88,0.00,2.43,0.00,0.00,0.00,0.00,,,,山东省,青岛,锦江区,青岛市锦江区南京路289号,用户552,16460169432,麻烦包装好一点,,APP-Android,否,否,否,,支付宝,否,,,否,否,否,否,否,是,圆通速递,YT17182742796,运输中,
2705000315,已付款,2026-04-03 23:33:47,2026-04-05 00:52:07,2026-04-10,2026-04-03 09:16:43,2026-04-05,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,233.11,231.71,0.00,1.96,1.71,1.22,0.00,1.40,0.00,0.00,0.00,0.00,,,,江苏省,南京,朝阳区,南京市朝阳区南京路146号,用户510,18396886730,,,H5,否,是,否,,花呗分期,否,,,否,否,否,否,否,否,极兔速递,YT11793659469,运输中,
2705000417,已完成,2026-04-04 06:25:03,2026-04-05 17:43:59,2026-04-08,2026-04-04 18:53:14,2026-04-06,桌面手机支架可折叠,PD00008,SP00008,SKU017,基础款-黑色,SKU017,基础款-黑色,ST017,数码电器,手机配件,支架,桌面支架,1,19.90,19.90,19.10,18.99,0.00,0.32,0.28,0.20,0.00,0.11,0.00,0.00,0.00,0.00,,,,广西,南宁,浦东新区,南宁市浦东新区人民路121号,用户811,15830521866,,,小程序,否,否,否,,支付宝,否,,,否,是,否,否,否,否,申通快递,YT11031856536,已签收,
2705000174,已退款,2026-04-04 06:37:40,2026-04-06 23:25:39,2026-04-13,2026-04-04 21:23:40,2026-04-06,无线蓝牙耳机Pro版,PD00002,SP00002,SKU004,黑色标准版,SKU004,黑色标准版,ST004,数码电器,影音设备,耳机,无线耳机,1,129.00,129.00,126.51,125.75,0.00,1.00,0.87,0.62,0.00,0.76,0.00,0.00,0.00,73.30,不喜欢/效果不好,仅退款,退款成功,辽宁省,沈阳,东城区,沈阳市东城区长安街256号,用户160,17572552249,,,APP-Android,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT65783573410,运输中,
2705000518,已签收,2026-04-04 11:48:20,2026-04-04 00:34:37,2026-04-07,2026-04-04 07:16:36,2026-04-06,有机红枣夹核桃500g,PD00007,SP00007,SKU015,500g袋装,SKU015,500g袋装,ST015,食品生鲜,坚果零食,红枣,夹心红枣,1,39.00,39.00,27.88,22.71,5.00,3.67,3.21,2.29,1.95,0.17,0.00,0.00,0.00,0.00,,,,山东省,青岛,锦江区,青岛市锦江区解放路98号,用户838,13751127633,,,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,否,邮政快递,YT32159796112,派送中,
2705000449,已发货,2026-04-04 12:31:51,2026-04-05 02:55:59,2026-04-06,2026-04-04 17:59:54,2026-04-06,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,5,59.00,295.00,242.85,241.39,0.00,20.86,18.25,13.04,0.00,1.46,0.00,0.00,0.00,0.00,,,补发,天津市,天津,朝阳区,天津市朝阳区南京路292号,用户802,14554486956,,,H5,是,否,否,,花呗分期,否,,,否,否,否,否,否,是,顺丰速运,YT81964068718,运输中,
2705000440,待发货,2026-04-04 12:42:21,2026-04-07 08:58:25,2026-04-14,2026-04-04 11:45:48,2026-04-06,男士运动休闲鞋透气款,PD00005,SP00005,SKU012,41码-白色,SKU012,41码-白色,ST012,运动户外,运动鞋服,运动鞋,跑步鞋,5,119.00,595.00,525.80,520.54,0.00,27.68,24.22,17.30,0.00,5.26,0.00,0.00,0.00,0.00,,,换货,广西,南宁,西城区,南宁市西城区中山路115号,用户793,14746058466,发之前检查一下质量,,H5,否,否,否,,微信支付,否,12,,否,否,否,否,否,否,极兔速递,YT35294277062,派送中,
2705000374,已付款,2026-04-04 12:53:15,2026-04-06 11:03:29,2026-04-12,2026-04-04 20:20:48,2026-04-06,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,107.87,107.22,0.00,2.07,1.81,1.30,5.95,0.65,0.00,0.00,0.00,0.00,,,,上海市,上海,南山区,上海市南山区解放路92号,用户273,19592231418,,,小程序,否,否,否,,微信支付,否,,,是,否,否,否,否,否,极兔速递,YT42832827152,已签收,
2705000238,待发货,2026-04-04 17:40:01,2026-04-04 13:39:34,2026-04-09,2026-04-04 23:39:35,2026-04-06,男士运动休闲鞋透气款,PD00005,SP00005,SKU012,41码-白色,SKU012,41码-白色,ST012,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,230.61,229.23,0.00,2.95,2.59,1.85,0.00,1.38,0.00,0.00,0.00,0.00,,,,陕西省,西安,浦东新区,西安市浦东新区解放路37号,用户176,16843953553,,,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT18625953081,已签收,
2705000297,已完成,2026-04-04 22:26:42,2026-04-06 16:29:46,2026-04-12,2026-04-04 19:24:17,2026-04-06,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,145.71,144.84,0.00,17.32,15.15,10.82,0.00,0.87,0.00,0.00,0.00,0.00,,,,河北省,石家庄,南山区,石家庄市南山区南京路276号,用户378,17130055214,,,APP-Android,否,否,否,,多多支付,否,,,否,否,否,否,否,否,中通快递,YT57120182098,运输中,
2705000305,已发货,2026-04-05 00:50:20,2026-04-07 12:27:23,2026-04-08,2026-04-05 06:34:00,2026-04-07,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,1,99.00,99.00,83.20,82.70,0.00,4.34,3.80,2.71,4.95,0.50,0.00,0.00,0.00,0.00,,,,浙江省,杭州,海淀区,杭州市海淀区人民路176号,用户655,19417124461,,,APP-iOS,否,否,否,,支付宝,否,,,否,否,否,否,否,否,极兔速递,YT12476458579,已签收,
2705000127,已退款,2026-04-05 01:13:32,2026-04-06 04:28:15,2026-04-12,2026-04-05 00:18:40,2026-04-07,不锈钢保温杯大容量,PD00004,SP00004,SKU009,800ml-银色,SKU009,800ml-银色,ST009,家居生活,餐饮用具,保温杯,不锈钢保温杯,2,65.00,130.00,107.71,107.06,0.00,8.92,7.80,5.57,0.00,0.65,0.00,0.00,0.00,74.50,七天无理由退货,仅退款,退款成功,江苏省,南京,西城区,南京市西城区建设路145号,用户843,13202460053,,,H5,是,否,否,,花呗分期,否,,,否,否,否,否,否,否,圆通速递,YT19648688067,已签收,
2705000091,已签收,2026-04-05 03:20:11,2026-04-06 16:25:38,2026-04-10,2026-04-05 08:13:35,2026-04-07,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,1,99.00,99.00,86.82,86.30,0.00,4.87,4.26,3.05,0.00,0.52,0.00,0.00,0.00,44.12,发错货/漏发,退货退款,退货退款,江西省,南昌,南山区,南昌市南山区中山路76号,用户668,18419972007,麻烦包装好一点,,H5,否,否,否,,支付宝,否,,,否,否,否,否,否,否,申通快递,YT33213288644,运输中,
2705000509,已发货,2026-04-05 06:13:04,2026-04-05 18:38:50,2026-04-12,2026-04-05 16:46:59,2026-04-07,夏季冰丝凉席三件套,PD00001,SP00001,SKU001,1.5m床-灰色,SKU001,1.5m床-灰色,ST001,家居生活,床上用品,凉席,冰丝凉席,3,89.00,267.00,226.29,224.03,0.00,16.28,14.25,10.18,0.00,2.26,0.00,0.00,0.00,0.00,,,,云南省,昆明,锦江区,昆明市锦江区长安街176号,用户993,15477619071,,,APP-Android,否,否,否,,多多支付,否,,,否,否,否,否,否,是,极兔速递,YT80292553851,运输中,
2705000430,待发货,2026-04-05 06:33:15,2026-04-08 09:45:29,2026-04-09,2026-04-05 08:48:38,2026-04-07,男士运动休闲鞋透气款,PD00005,SP00005,SKU012,41码-白色,SKU012,41码-白色,ST012,运动户外,运动鞋服,运动鞋,跑步鞋,5,119.00,595.00,532.20,529.01,0.00,25.12,21.98,15.70,0.00,3.19,0.00,0.00,0.00,0.00,,,,江苏省,南京,西城区,南京市西城区南京路169号,用户773,14743560786,,,H5,否,否,否,,支付宝,否,,,否,否,否,否,否,否,顺丰速运,YT59531859825,派送中,
2705000144,已签收,2026-04-05 08:48:43,2026-04-08 16:52:25,2026-04-09,2026-04-05 20:03:42,2026-04-07,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,3,45.00,135.00,131.31,130.52,0.00,1.48,1.29,0.92,0.00,0.79,43.13,0.00,0.00,0.00,,,,广西,南宁,锦江区,南宁市锦江区人民路122号,用户372,13625839013,,VIP客户,小程序,否,否,否,,多多支付,否,6,,否,否,否,否,否,否,申通快递,YT40318177226,已签收,
2705000481,已发货,2026-04-05 14:58:07,2026-04-05 06:40:47,2026-04-06,2026-04-05 22:16:07,2026-04-07,桌面手机支架可折叠,PD00008,SP00008,SKU017,基础款-黑色,SKU017,基础款-黑色,ST017,数码电器,手机配件,支架,桌面支架,5,19.90,99.50,90.74,90.20,0.00,3.50,3.07,2.19,0.00,0.54,0.00,0.00,0.00,0.00,,,,上海市,上海,西城区,上海市西城区人民路124号,用户724,15720500869,,,APP-iOS,否,否,否,,多多支付,否,,,否,否,否,否,否,是,中通快递,YT37000889784,派送中,
2705000334,待发货,2026-04-05 17:06:09,2026-04-07 14:39:55,2026-04-10,2026-04-05 09:58:51,2026-04-07,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,5,99.00,495.00,374.92,372.67,0.00,48.03,42.03,30.02,0.00,2.25,0.00,0.00,0.00,0.00,,,换货,重庆市,重庆,福田区,重庆市福田区人民路148号,用户251,16494763999,,,APP-iOS,否,否,否,,花呗分期,否,,,否,是,否,否,否,是,极兔速递,YT59100979849,运输中,
2705000179,已付款,2026-04-05 21:38:01,2026-04-06 21:21:37,2026-04-10,2026-04-05 11:32:34,2026-04-07,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,2,29.90,59.80,53.22,52.90,0.00,2.63,2.30,1.65,0.00,0.32,0.00,0.00,0.00,0.00,,,,广西,南宁,朝阳区,南宁市朝阳区人民路53号,用户548,15613214381,,,APP-iOS,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT34630343392,运输中,
